section,question
"Company","What are GitLab’s core values and how do they guide decision-making?"
"Company","How does GitLab support remote and asynchronous work across teams?"
"Company","What is GitLab’s approach to transparency and documentation?"
"Company","How are company-wide goals and OKRs defined and communicated?"
"Company","What is GitLab’s policy on diversity, inclusion, and belonging?"
"Company","How does GitLab handle internal communication across distributed teams?"
"Company","What is the process for onboarding new employees at GitLab?"
"Company","How does GitLab manage internal feedback and employee engagement?"
"Company","What is GitLab’s stance on work–life balance?"
"Company","How does GitLab support professional development and learning?"
"Customer Experience","How does GitLab collect and act on customer feedback?"
"Customer Experience","What channels are used for customer support and issue reporting?"
"Customer Experience","How are customer issues prioritized and escalated?"
"Customer Experience","What is GitLab’s approach to handling customer complaints?"
"Customer Experience","How does GitLab measure customer satisfaction?"
"Customer Experience","What are the response time expectations for customer-facing teams?"
"Customer Experience","How does GitLab ensure consistent customer experience across regions?"
"Customer Experience","What role does documentation play in customer experience?"
"Customer Experience","How does GitLab handle communication during service outages?"
"Customer Experience","How are customer insights shared internally with product teams?"
"Customer Success","What is the role of Customer Success Managers at GitLab?"
"Customer Success","How does GitLab onboard new customers?"
"Customer Success","How does GitLab define customer success and retention?"
"Customer Success","What metrics are used to measure customer health?"
"Customer Success","How does GitLab handle customer renewals and expansions?"
"Customer Success","What is the process for identifying at-risk customers?"
"Customer Success","How does Customer Success collaborate with Sales and Support?"
"Customer Success","What tools are used to track customer success activities?"
"Customer Success","How does GitLab support enterprise customers differently from smaller teams?"
"Customer Success","How are best practices shared across the Customer Success team?"
"Engineering","How does GitLab manage code reviews and merge requests?"
"Engineering","What are the guidelines for writing and maintaining documentation?"
"Engineering","How does GitLab ensure code quality and reliability?"
"Engineering","What is GitLab’s approach to continuous integration and deployment?"
"Engineering","How are engineering incidents handled and documented?"
"Engineering","What are the expectations for engineering on-call rotations?"
"Engineering","How does GitLab handle technical debt?"
"Engineering","What tools and practices are used for monitoring and observability?"
"Engineering","How do engineering teams collaborate asynchronously?"
"Engineering","What is the process for proposing and implementing architectural changes?"
